rep,fold,seed,arm,n_test,auc,ap,acc,f1,rely_img,rely_tab,auc_img_shuf,auc_tab_shuf,best_epoch,epochs_run
2,3,2,cross,46,0.7297297297297298,0.9185533158414954,0.8260869565217391,0.8974358974358975,0.0390390390390391,0.1831831831831832,0.6906906906906907,0.5465465465465466,2,17
2,3,0,cross_a2b,46,0.7387387387387387,0.9166194718603268,0.782608695652174,0.868421052631579,0.0255255255255255,0.3033033033033033,0.7132132132132132,0.4354354354354354,29,44
2,3,1,cross_a2b,46,0.7207207207207207,0.9158457592560164,0.8260869565217391,0.8974358974358975,0.075075075075075,0.1711711711711711,0.6456456456456456,0.5495495495495496,1,16
2,3,2,cross_a2b,46,0.7087087087087087,0.8948869058449243,0.8043478260869565,0.8831168831168831,0.003003003003003,0.1981981981981981,0.7057057057057057,0.5105105105105106,2,17
2,3,0,img,46,0.6846846846846847,0.9018898857059204,0.6739130434782609,0.7945205479452054,,,,,4,19
2,3,1,img,46,0.7417417417417418,0.927919218762498,0.8260869565217391,0.902439024390244,,,,,1,16
2,3,2,img,46,0.7627627627627629,0.9366578737743684,0.8260869565217391,0.9,,,,,10,25
2,3,0,tab,46,0.6546546546546548,0.8939443652065762,0.7391304347826086,0.8421052631578947,,,,,5,20
2,3,1,tab,46,0.6846846846846847,0.8688176243258565,0.782608695652174,0.8717948717948718,,,,,13,28
2,3,2,tab,46,0.6996996996996997,0.9183643068755644,0.717391304347826,0.8266666666666667,,,,,7,22
2,4,0,concat,45,0.6925675675675675,0.8819007249385715,0.8444444444444444,0.9090909090909092,0.0168918918918917,0.1283783783783783,0.6756756756756758,0.5641891891891893,3,18
2,4,1,concat,45,0.6959459459459459,0.864616175744793,0.7777777777777778,0.8648648648648649,0.0033783783783783,0.1554054054054053,0.6925675675675675,0.5405405405405406,2,17
2,4,2,concat,45,0.6858108108108109,0.8954172376118541,0.7111111111111111,0.8115942028985508,-0.0033783783783783,0.1587837837837838,0.6891891891891893,0.527027027027027,2,17
2,4,0,concat_wide,45,0.6790540540540541,0.8668161543695325,0.8222222222222222,0.8974358974358975,0.0135135135135134,0.233108108108108,0.6655405405405406,0.445945945945946,2,17
2,4,1,concat_wide,45,0.6621621621621622,0.850444581676907,0.8444444444444444,0.9113924050632912,0.0304054054054053,0.1452702702702702,0.6317567567567568,0.5168918918918919,2,17
2,4,2,concat_wide,45,0.6891891891891893,0.8808909520952677,0.7777777777777778,0.8648648648648649,0.0135135135135135,0.195945945945946,0.6756756756756757,0.4932432432432432,2,17
2,4,0,cross,45,0.6824324324324325,0.9062636580030824,0.7555555555555555,0.8493150684931506,-0.0033783783783783,0.1925675675675676,0.6858108108108109,0.4898648648648648,1,16
2,4,1,cross,45,0.7567567567567568,0.9400696177106852,0.7555555555555555,0.8493150684931506,0.0067567567567567,0.375,0.75,0.3817567567567567,22,37
2,4,2,cross,45,0.6824324324324325,0.9092248875245816,0.7777777777777778,0.8648648648648649,0.0152027027027026,0.1925675675675676,0.6672297297297298,0.4898648648648648,15,30
2,4,0,cross_a2b,45,0.7364864864864865,0.9316347055687352,0.8,0.8860759493670886,-0.0135135135135134,0.2094594594594594,0.75,0.5270270270270271,1,16
